jagħmilhom	does	يَا
feluga	Flowers	الزهور
mogħdija	the road	الطريق
parisot	Paralleled	موازين
Hemm	There	هُناك
tgħidu	the following:	المعلومات التالية:
lecture	lecture	محاضرة
ħadlu	have taken	خَلْطُوا
Matematika	The following is a list of the countries of the European Union:	هُوَ القائِمْ مِنْ البِلادْ مْتَاعْ الاتِّحادْ الأ
għamlilhom	made them	خَلْقِيهُمْ
mirak	miracle	معجزة
silġ	ice	الجليد
investituri	investors	المستثمرين
ċajtier	a sailor	بحار
mananni	Other, of a thickness of not more than 10 mm	وِلاَّ مِنْ غَيْرِهَا، مِثْلُو، مِ
magħruf	known	المعرف
pinzell	a width of not more than 15 mm	للاستعمالات المختلفة
għad-	for the	ل ل
swied	fish	السمكة
sod	solid	صلابة
dekasteri	decasters	ديكاسترات
Imbagħad	Then	وِمْبَاعِدْ
daħalx	not included	مَا مْشَاوْ فِي
me	Me	أنا
sabbatikal	the number of days	عدد الايام
Grech	Greek	اليوناني
innifsek	self	نفس
intietef	the following:	المعلومات التالية:
waqtiet	time	وقت
muskoli	Muscles	العضلات
imbikkma	the following:	المعلومات التالية:
imbiegħda	remote	ريموت
fantażmi	Ghosts	شبحات
middle	middle	وسط
Litta	Other, of a thickness of not more than 10 mm	وِلاَّ مِنْ غَيْرِهَا، مِثْلُو، مِ
ġardinar	gardener	حَطَّانْ
Patri	Parent	الوالدين
tagħtix	the following:	المعلومات التالية:
tfulija	childhood	فترة الطفولة
ġabu	have	ليه
maqlub	Other, not further worked than hot-rolled	مَا يِتْعَدِّي فِي الحَرْ، مَا يِتْع
Qari	Readings	قراءات
sofriet	suffered	عانوا
attakanti	attackers	المهاجمين
kkonċentraw	concentrated	المكثفة
esposti	exposures	المشاريع
Videla	Other, of a kind used for the manufacture of goods	وِلاَّ مِنْ النَّوْعْ المُخْتَلِصْ
Fenech	Fenech	فنيخ
kamartnu	Other, of a kind used for the manufacture of goods	وِلاَّ مِنْ النَّوْعْ المُخْتَلِصْ
ċrieket	Other, of a kind used for the manufacture of goods	وِلاَّ مِنْ النَّوْعْ المُخْتَلِصْ
obbligata	compulsory	مجبوري
rnexxielekx	You failed	فاشلت
ħassejtu	the sensation	الحساسة
ikkraq	the cracking	الكراكس
nixrob	beverages	المشروبات
jilqgħu	to receive	تلقاء
tilfet	lost	ضاعين
dinjità	dignity	كرامة
ħabbtitx	you didn't	مَا تِسْتَحْكِمْشْ
Iskrivan	Other articles of clothing	فُرْقَة وِلاَّ مَا عِنْدْهَا
martell	a width of not more than 15 mm	للاستعمالات المختلفة
at	at	في
limbu	Limbs	الأطراف
let	leth	ليه
Karl	Other articles	المواد الأُخرى
Nubja	The following information shall be provided:	المعلومات التاليين:
ħsibna	thought	فكروا
wieġbu	responded	ردت
Marjetta	Other, of a kind used for the manufacture of goods	وِلاَّ مِنْ النَّوْعْ المُخْتَلِصْ
tibqa'	remains	بقايا
Bid-	With the	مع المشاركة
jitnaqqas	reduced	خفض
tieġ	the age	العمر
iżżommha	maintain	إمسك
jinkwetawna	concern	قلق
banketta	banquet	فندق
Maskott	Other, of a kind used for the manufacture of goods	وِلاَّ مِنْ النَّوْعْ المُخْتَلِصْ
ġmielu	the fruit	الفاكهة
tfajla	child	الوَلْدْ
proviżorja	Provisional	مؤقتة
Tiegħek'	Your	كِيفك
public	public	الجمهور
nġiebu	to be carried out	يُتْنَجِّمْ
Slimiża	Slimish	خفيف
Noah	Noah	نُوح
qtugħ	cutting	القص
kelmtu	his word	كلمته
twaqqfu	stopping	توقف
ġewwa	in	في
nimtlew	filling	المكملة
sparat	fire	نيران
skuża	Apology	عذرا
jpattihielu	to be repaid	يُرْجَعْ
fm	fm	fm
ġermanja	Germany	ألمانيا
tagħqad	loading	شحن
Falzon	Other, of a kind used for the manufacture of goods	وِلاَّ مِنْ النَّوْعْ المُخْتَلِصْ
xogħolhom	their work	عملهم
swali	Questions	تسئلة
għamiltu	have done	فاعلوا
Geoffrey	The following is a list of the official languages of the European Union:	هُوَ القائِمْ مِنْ اللُّغَاتْ الرُّسَامَة مْ
Pirpirella	Other, of a thickness of not more than 10 mm	وِلاَّ مِنْ غَيْرِهَا، مِثْلُو، مِ
rabja	Rage	الغضب
jogħdos	the following:	المعلومات التالية:
jixxarrablu	the following:	المعلومات التالية:
nfaqna	Other, of a kind used for the manufacture of goods	وِلاَّ مِنْ النَّوْعْ المُخْتَلِصْ
kappellun	a hat	كابوسة
dehret	appeared	ظهرت
taħdem	working	العمال
nqabbduha	to be connected	يُصَلِّطْ
Riku	Other	مَا عِنْدُو
ngħata	given	مَا خَلِّينِش
Itellfulkom	I call you	نعتبرك
Naqbel	I agree	نِتْقَرِّبْ
taksi	tax	الضرائب
iżommhom	keeping them	يحتفظوا بيهم
niftakarx	I do not remember	ما نتذكرش
responsabilità	liability	المسؤولية
if	if	إذا
Nicky	Nicky	نيكي
innaqqas	reduced	خفض
did	did	فكروا
ħadthom	received	تلقى
fetaħlu	the following:	المعلومات التالية:
kolina	wheat	القمح
redundancy	the amount of the aid	مبلغ الدعم
qaltlu	said	قيل
ispowks	Other, of a kind used for the manufacture of goods	وِلاَّ مِنْ النَّوْعْ المُخْتَلِصْ
paritajiet	Parities	الموازين
perikoluża	dangerous	خطير
taparsi	cover	الغطاء
jpeċpċilha	a maximum of 50 g/m2	مَا يُقْصُدْشْ 50 g/m2
Josè	Joseph	يُوسُفْ
jismagħhiex	not more than 1 kg	لا يزيد على 1 كيلو غرام
brodu	Other, of a kind used for the manufacture of goods	وِلاَّ مِنْ النَّوْعْ المُخْتَلِصْ
kayaking	Canoeing	كانوينغ
fqar	poverty	الفقر
tirranġa	Repair	إصلاحات
nipprovdu	supply	الإمدادات
qum	Other, not elsewhere specified or included	وِلاَّ مَا يُشْكُلْ فِي أَحَدْ الأَثَ
perfetta	Perfect	كمالك
lead	Lead	رَايْ
faċilment	easily	بسهولة
pittur	Painter	طاووس
interpretati	interpreted	تفسيرات
ssokta	of a kind used for the manufacture of goods	مِنْ النَّوْعْ المُخْتَارْ لِلخِدْمَة
ixkumvat	of a kind used for the manufacture of goods	مِنْ النَّوْعْ المُخْتَارْ لِلخِدْمَة
daqna	Other, of a kind used for the manufacture of goods	وِلاَّ مِنْ النَّوْعْ المُخْتَلِصْ
Pico	Other, of a kind used for the manufacture of goods	وِلاَّ مِنْ النَّوْعْ المُخْتَلِصْ
tappini	other than	غير
stagħġeb	the fish	السمكة
fommu	Forms of the product	طرازات المنتج
dubbien	doubts	شُكوك
Abbord	The following is the list of the aircraft:	هَاذَا هُوَ القَائِمْ مْتَاعْ الطائِرَة:
sentejn	two years	سنتين
Qalb	Heart	القلب
nanniet	other than	غير
imħaded	Other, of a kind used for the manufacture of goods	وِلاَّ مِنْ النَّوْعْ المُخْتَلِصْ
ħemm	Other, of a thickness of not more than 10 mm	وِلاَّ مِنْ غَيْرِهَا، مِثْلُو، مِ
minquxin	Other, of a kind used for the manufacture of goods	وِلاَّ مِنْ النَّوْعْ المُخْتَلِصْ
beżax	not afraid	ما خافش
artistiċi	artists	فنانين
impossibli	impossible	مستحيل
qatgħet	cut	كَسْرِينْ
tistej	Other, of a thickness of not more than 10 mm	وِلاَّ مِنْ غَيْرِهَا، مِثْلُو، مِ
Tadama	Other, of a kind used for the manufacture of goods	وِلاَّ مِنْ النَّوْعْ المُخْتَلِصْ
smajna	we heard	سمعنا
ltqajtu	Other articles of heading 810	المنتجات الأُخرى مِنْ الوْصِيَّة 810
number	number	رقم
Tavares	Other, of a thickness of not more than 10 mm	وِلاَّ مِنْ غَيْرِهَا، مِثْلُو، مِ
jindaħlilhom	entering	دخل
ħbieb	friends	الأصدقاء
iwieġbu	answer	جاوب
għaddejjin	running	يُجْرِي
attempted	attempted	محاولة
faqgħu	the following:	المعلومات التالية:
Air	Air	الهواء
Cup	Cup	كوب
qala'	the following:	المعلومات التالية:
Spiċċaw	Expired	فُرْقْ
għidna	told us	قَالِلْنَا
moħħi	brain	دماغ
għajr	Other than	غير
kpiepel	Other, of a kind used for the manufacture of goods	وِلاَّ مِنْ النَّوْعْ المُخْتَلِصْ
ivan	the following:	المعلومات التالية:
ponot	points	النقاط
blazer	a blazer	بلازر
imbilli	Other, of a kind used for the manufacture of goods	وِلاَّ مِنْ النَّوْعْ المُخْتَلِصْ
anki	also	كمان
itlobhom	request them	طلبهم
jarak	Other	مَا عِنْدُو
jitħarrku	of a width of not more than 15 mm	مِنْ عِرْضْ مَا يَزِيدْ عَلِّي 15 mm
Pawlu	Paul	بُولُس
jfendu	mean	متوسط
Katarina	Other, of a kind used for the manufacture of goods	وِلاَّ مِنْ النَّوْعْ المُخْتَلِصْ
xqed	Other, of a kind used for the manufacture of goods	وِلاَّ مِنْ النَّوْعْ المُخْتَلِصْ
kastelli	Castles	قلاع
Yanica	Other, of a kind used for the manufacture of goods	وِلاَّ مِنْ النَّوْعْ المُخْتَلِصْ
jeħtieġu	require	يلزم
ġol-	in the	في
vittma	the victim	الضحية
warda	storage	تخزين
by	by	من خلال
tinkwieta	concern	قلق
nazzjonalisti	nationalists	القوميون
a	a.	أ.
Pajjiż	Countries	الدول
sejjieħ	the seeds	البذور
jkollu	shall have	يِلْزِمْ يِلْزِمْ يِلْزِمْ يِلْ
Sheffield	Sheffield	شيفيلد
imkemmex	not carried out	ما تمش بيعها
stick	a.	أ.
tbissima	smiling	بسمامة
nissellfu	self-sufficiency	إزدادة الغرض
ddeċieda	Decision	القرار
sellem	greed	طمع
irgiel	Other, of a kind used for the manufacture of goods	وِلاَّ مِنْ النَّوْعْ المُخْتَلِصْ
Taljana	Italian	إيطالي
kulur	colour	لون
istaffa	the following:	المعلومات التالية:
Staqsa	Questioned	مُسْأَلْ
Elena	Other	مَا عِنْدُو
Ewropea	European Union	الاتحاد الأوروبي
jilgħagħqu	the following is added:	يُضافْ الشَّيْء الِّي يْتَحْكِي:
lend	Other	مَا عِنْدُو
wasal	arrived	وصلوا
kixfu	exposures	المشاريع
tisma'	you hear	تسمعوني
Agius	Other, of a kind used for the manufacture of goods	وِلاَّ مِنْ النَّوْعْ المُخْتَلِصْ
sebgħa	seven	سبعة
għani	rich	غنيين
werżqet	discharged	مُسَبِّحْ
turih	show it	وريني
saħasistra	the left	الشمال
antika	Other	مَا عِنْدُو
djoċesana	dioceses	إقليمات
wisq	too much	كبيرا
maġenbha	side	الجانب
ħuta	fish	السمكة
msejjaħ	called	يُسْمَى
żiedx	not increased	ما يزدادش
fattur	factor	عامل
stampi	Other articles of heading 810	المنتجات الأُخرى مِنْ الوْصِيَّة 810
jgħarrqu	the following:	المعلومات التالية:
triqthom	their routes	طرقهم
Murjani	Show me	وريني
joqgod	to lay	ليهض
ċikkulata	Chocolate	شوكولاتة
qaddejja	servants	الخدم
Minn	Of	من
normal	normal	عادي
moviment	movement	حركة
kwotazzjoni	the quotation	القرآن
impossibbli	impossible	مستحيل
nzerta	the following:	المعلومات التالية:
niddiskrivuha	describe it	وصفيه
ddejjaqt	Other, of a kind used for the manufacture of goods	وِلاَّ مِنْ النَّوْعْ المُخْتَلِصْ
Talb	The request	الطلب
ikkoreġihielha	correct it	إصحيحو
rajniehom	show them	ورينيهم
owkej'	oak	بيك
isparaturi	Other, of a thickness of not more than 0,5%	وِلاَّ مِنْ غِيرْ سَمْكِةْ مِنْ غِيرْ
kamarti	Other, of a kind used for the manufacture of goods	وِلاَّ مِنْ النَّوْعْ المُخْتَلِصْ
għaksa	thickness	ضخامة
ċittadini	citizens	المواطنين
esperimenti	experiments	التجارب
fergħa	branch	فروع
grazzja	grace	نْعَمْ
boċċa	a weight of not more than 0,5%	مِنْ غِيرْ مَا يُقْصُدْ
ġurnalist	journalist	صحفي
tieqaf	stopping	توقف
żgurat	ensured	متأكد
bakkanali	Other, of a thickness of not more than 10 mm	وِلاَّ مِنْ غَيْرِهَا، مِثْلُو، مِ
Cremona	Other, of a thickness of not more than 10 mm	وِلاَّ مِنْ غَيْرِهَا، مِثْلُو، مِ
Erkole	Other articles of heading 810	المنتجات الأُخرى مِنْ الوْصِيَّة 810
last	last	آخر
Kimberly	Other	مَا عِنْدُو
immexxi	directed	مُوجّه
ippubblika	published	نشر
serji	serious	جدية
sibiliana	Other	مَا عِنْدُو
powers	powers	القوانين
hippies	hippies	هيبي
oċean	sea	البحر
iċaq	water	المياه
nfixkel	failure	الفشل
twilu	length	طول
Danku	Thank you	شكرك.
disturbat	disturbed	متأثرة
xe	X	X
Minfloku	Other than	غير
Madankollu	However	باكيد
inżergħu	Seeds	البذور
kordjali	Other, of a kind used for the manufacture of goods	وِلاَّ مِنْ النَّوْعْ المُخْتَلِصْ
jaddottawha	to adopt	يُعتمد
żmienkom	your time	وقتك
burgers	foodstuffs	المواد الغذائية
infermiera	nurse	الممرضة
spje	Spices	العلاجات
petizzjoni	petition	التماس
field	field	الحقل
Minuta	Minutes	المعلومات
tissupplixxi	doubled	مضاعفة
Bartolo	Other, of a thickness of not more than 10 mm	وِلاَّ مِنْ غَيْرِهَا، مِثْلُو، مِ
Loreen	Loreen	لورين
Jeffrey	The following information is provided:	المعلومات التالية:
Mater	Other	مَا عِنْدُو
indifferenti	Indifferent	مَا عِنْدْهُمْشْ حَاجَة
lilhom	to them	لِيهُمْ
fejda	food	الغذاء
bagħtet	sent	رُسُلْ
tagħlaqhom	closing them	إغلاقهم
matur	maturity	المدة المحدودة
dead	dead	مُوتين
neħħa	Removal	إزالة
tkunx	is	هو
nsibhomlok	we find you	نلاقيكم
irreaġixxa	reacted	ردت
għedniex	Do not tell us	مَا تْقُولُوشْ لِينَا
waqfux	not stopped	ما يُوقفي
qoxra	shell	القشرة
jgħidulek	tell you	نْقُولِكْ
liberi	free	مجاني
forom	Forms	فُرُوم
għaġġbu	hated	كراهية
waħedha	alone	وحدة
naħarquhomx	not burning	ما يُحْرُقْشْ
stennieni	waiting	ينتظر
lejja	for me	بالنسبة لي
xemgħat	Candle	الشموع
unijiet	Union	الاتحاد
jimxix	not move	ما يتحركش
Somalja	Other fish	سمك أخرى
PN	PN	PN
rashom	self	نفس
Ralph	Ralph	رالف
ħaxix	vegetables	الخضروات
ħalef	sworn	حَلْمْ
jiġġennen	penalty	العقوبة
jiggwadanjaw	guiding	القيادة
elettroniku	electronic	الإلكترونية
fis-	in the	في
tagħlim	education	التعليم
mistrieħa	resting	الراحه
jtuq	Flowers	الزهور
inkanta	the song	الغناء
ġenbhom	Other, of a kind used for the manufacture of goods	وِلاَّ مِنْ النَّوْعْ المُخْتَلِصْ
xogħlu	his work	عمله
tilmaħni	I was born	وُلدت
kbirt	Other	مَا عِنْدُو
xatba	Other, not elsewhere specified or included	وِلاَّ مَا يُشْكُلْ فِي أَحَدْ الأَثَ
komplut	complete	الكامل
nagħtiha	to give it	نُعْطِيهْ
raġa'	the following:	المعلومات التالية:
taħdidiet	the following:	المعلومات التالية:
jaf	know	نعرف
infixel	Other, of a kind used for the manufacture of goods	وِلاَّ مِنْ النَّوْعْ المُخْتَلِصْ
sussidjarjetà	subsidiarity	الإستعمالات الإضافية
ikunu	be	كَانْ
Pakistan	Pakistan	باكستان
ismijiet	names	أسماء
jidħqu	reaching	اللى يصل
intebgħt	sent	رُسُلْ
ara	see	شرف
femminili	Female	إناث
oħroġ	out	خارج
dipendenti	dependants	المعتقلين
jidhirli	I see	فهمت
gerit	Other, of a kind used for the manufacture of goods	وِلاَّ مِنْ النَّوْعْ المُخْتَلِصْ
talabhom	requested	طلب
xarejnu	of a kind used for the manufacture of foodstuffs	مِنْ النَّوْعْ المُخْتَارْ لِلخِدْمَة
headmistress	Headmistress	مديرة المدرسة
ġebla	stone	حجر
nsellem	greetings	سلمو
stennejtek	Waiting for you	ننتظرك
ikrah	the lease	العقد الإيجار
Adrian	The following information is provided:	المعلومات التالية:
binti	daughter	ابنتك
Passarella	Other, of a kind used for the manufacture of goods	وِلاَّ مِنْ النَّوْعْ المُخْتَلِصْ
toħorġuhom	to remove them	لإزالةهم
provista	supply	الإمدادات
koa	cocoa	كاكاو
ġimm	the following:	المعلومات التالية:
lanza	Spear	طلع
Forzi	Forces	القوى
joqros	the following:	المعلومات التالية:
niktbuh	writing	الكتابة
qlubna	our hearts	قلوبنا
laqa'	Other, of a kind used for the manufacture of goods	وِلاَّ مِنْ النَّوْعْ المُخْتَلِصْ
skarsa	shortage	نقص
effett	effect	تأثير
talab	requested	طلب
telgħa	the following:	المعلومات التالية:
tyre	their	المشاركة
part	part	جزء
basketball	basketball	كاسكتبال
niffaċilitaw	facilitate	تسهل
assurda	Unused	مَا يِتْعْمَلْشْ
testing	testing	اختبارات
nistgħu	we can	نجمنا
monetarji	monetary	النقدية
Jien	I am	أنا بَاشْ
qliezet	Other, of a thickness of not more than 0,01 mm	وِلاَّ مِنْ غَيْرِهَا، مِثْلُو، مِ
konklużjoni	the conclusion	الخلاصة
Claudio	The following information shall be provided:	المعلومات التاليين:
kontenitur	container	حاوية
lezzjoni	lesson	درسي
jintervjeni	interfere	تُدخلوا
ferst	ferst	فيرست
kwadri	square	مربع
jirrifjuta	refuses	يرفض
preżenti	present	الحاضر
innifsu	itself	نفسها
żżommni	keep me	إبقيني
mxerrdin	dispersed	متفرقة
sejf	sword	سيف
inġiblek	bring you	جِيكِ
offra	offer	العرض
ulkoll	all	الكل
Kostituzzjoni	The Constitution	الدستور
mistennija	expected	متوقع
tistaqsini	you ask me	تسألني
idejk	your hands	يداك
kiefra	Other, of a kind used for the manufacture of goods	وِلاَّ مِنْ النَّوْعْ المُخْتَلِصْ
Malawi	Malawi	مالاوي
kenux	with	مع
tini	Other	مَا عِنْدُو
jagħlqu	closing	الإغلاق
minnu	of which:	مِنْهُمْ:
ġibu	bring	جَابِينْ
stanjati	stowed	مُخَبِّرْ
Murattz	Other, of a kind used for the manufacture of goods	وِلاَّ مِنْ النَّوْعْ المُخْتَلِصْ
Rossi	Red	الحمراء
medjokrità	average	المتوسط
ċaflis	Other, of a kind used for the manufacture of goods	وِلاَّ مِنْ النَّوْعْ المُخْتَلِصْ
relazzjoni	relationship	العلاقة
Għandi	I have	عِنْدِي
beżżiegħ	Scary	مُخيف
Xwarz	Other, of a kind used for the manufacture of goods	وِلاَّ مِنْ النَّوْعْ المُخْتَلِصْ
qabżitilhom	their capsules	كابسولاتهم
tad-	of the	من
ħalluhom	have been allowed	تم السماح
jilħqux	not reach	ما يصلش
jgħiduli	tell me	إخبرني
Tajjeb	All right, all right.	تمام، تمام.
oxxen	Other, of a kind used for the manufacture of goods	وِلاَّ مِنْ النَّوْعْ المُخْتَلِصْ
żmien	time	وقت
ġġieldt	cattle	البقريات
joqogħdux	not to be	ما يِشْكُلْ
jaħasra	Other	مَا عِنْدُو
mizzi	Measures	الإجراءات
Fis-	In the	في
xugumani	Toys	لعبات
jiskopri	to find out	ليكشفوا
feraq	Flowers	الزهور
sbejħa	sales	البيع
enemalta	Uncooked	مَا يِطْبَخْشْ
tinterpreta	interpreted	تفسيرات
jaffaċċja	Other, of a kind used for the manufacture of goods	وِلاَّ مِنْ النَّوْعْ المُخْتَلِصْ
post	place	بلاصة
werwer	Wire	سلك
għandha	has	فما
riedha	wanted	مطلوب
pastizzi	pastures	المراعي
bnadi	Manufacture from materials of heading 810	مِنْ مِنْ مِنْ مِنْ مِنْ مِنْ مِنْ
qattgħu	cutting	القص
privati	private	خاصة
Presidenza	The Chair	الكرسي
kostituzzjoni	the constitution	الدستور
tivvinta	winding	المكشوفات
tixbah	similar	المماثلة
xiehda	witness	الشاهد
ngħatajna	we were given	نُعْطَاوْنَا
semmejna	we have mentioned	نَحْنَا ذَكِّرْنَا
impjieg	employment	الوظيفة
erm	ERM	ERM
aċċettajt	I have accepted	قَبِلْتْ
loans	loans	القروض
jgħaffeġ	a.	أ.
neżgħu	the following:	المعلومات التالية:
nistħu	the following:	المعلومات التالية:
aggressuri	aggressors	العدوان
Irene	Other	مَا عِنْدُو
leli	Other	مَا عِنْدُو
ħbiebi	friends	الأصدقاء
Reġistru	Register	سجل
ringrazzjamenti	Thank you	شكرك.
niggarantixxu	guarantee	الضمان
Marzu	March	ماري
jgħoddx	does not apply	ما يطبق
mellieħa	Other, of a thickness of not more than 10 mm	وِلاَّ مِنْ غَيْرِهَا، مِثْلُو، مِ
sick	sick	المرضى
mbremblin	Other articles of heading 810	المنتجات الأُخرى مِنْ الوْصِيَّة 810
maġija	Magical	السحر
aqgħet	Other	مَا عِنْدُو
telefonata	telephone call	المكالمة الهاتفية
prattiku	the following:	المعلومات التالية:
telfiet	losses	الخسائر
Beethoven	Beethoven	بيتهوفن
konsum	consumption	الاستهلاك
Lhud	Jews	اليهود
Jidher	It appears	يبدوا
kritika	criticism	النقد
kasu	case	الحالة
jfittxux	they seek	يْلْحَاوْ
Tony	The following is the list of the countries of the European Union:	هُوَ القائِمْ مِنْ البِلادْ مْتَاعْ الاتِّحادْ الأ
tirreferi	refer to	يشاركوا
tqassam	distribution	توزيع
jippreferi	preferred	المفضلة
peroqablu	Other, of a kind used for the manufacture of goods	وِلاَّ مِنْ النَّوْعْ المُخْتَلِصْ
imgħaddab	Manufacture from materials of heading 810	مِنْ مِنْ مِنْ مِنْ مِنْ مِنْ مِنْ
nada	Other	مَا عِنْدُو
mansa	Other	مَا عِنْدُو
ngħidilha	to tell her	بَاشْ نْقُولِلْهَا
jitkelmu	to speak	نتكلم
jigdmu	working	العمال
life	life	الحياه
tlieta	three	ثلاثة
titħarrek	training	التدريب
ġużè	the judge	القضاة
soqfa	Other, of a kind used for the manufacture of goods	وِلاَّ مِنْ النَّوْعْ المُخْتَلِصْ
pinna	Other, of a kind used for the manufacture of goods	وِلاَّ مِنْ النَّوْعْ المُخْتَلِصْ
għażilt	the choice	الخيار
aċċettaw	have accepted	قَبِّلْتُوا
tutors	the following:	المعلومات التالية:
gwejda	Other, of a kind used for the manufacture of goods	وِلاَّ مِنْ النَّوْعْ المُخْتَلِصْ
imur	go	إذهبي
ħallejthom	their release	إطلاقهم
superstizzjuż	superstitious	الخرافات
arbli	Other, of a kind used for the manufacture of goods	وِلاَّ مِنْ النَّوْعْ المُخْتَلِصْ
sigaretti	Other, of a thickness of not more than 10 mm	وِلاَّ مِنْ غَيْرِهَا، مِثْلُو، مِ
ħaqqha	the right	اليمين
ġrejt	has been	كان
wahda	Other	مَا عِنْدُو
ingliżati	English	الإنجليزية
żaqqtu	Other, of a kind used for the manufacture of goods	وِلاَّ مِنْ النَّوْعْ المُخْتَلِصْ
mgħajjar	Other, of a kind used for the manufacture of goods	وِلاَّ مِنْ النَّوْعْ المُخْتَلِصْ
itfal	children	أطفال
trasport	transport	النقل
joqtolnix	Do not kill me	مَا تُقْتُلْنِيشْ
Miskin	Poor	فقراء
dettalji	details	التفاصيل
face	face	الوجه
alternattiv	Other	مَا عِنْدُو
sawwart	Other, of a kind used for the manufacture of goods	وِلاَّ مِنْ النَّوْعْ المُخْتَلِصْ
Sirja	Other	مَا عِنْدُو
imċajpra	Other, of a kind used for the manufacture of goods	وِلاَّ مِنْ النَّوْعْ المُخْتَلِصْ
indikazzjonijiet	Indications	إشارات
tafx	you know	تعرفو
jifdal	remaining	بقايا
Erica	Other, of a kind used for the manufacture of goods	وِلاَّ مِنْ النَّوْعْ المُخْتَلِصْ
robert	the following information is provided:	المعلومات التالية:
pronta	ready	جاهز
jattendu	attend	يشاركوا
titfgħalhom	be given	يُعْطَى
tħassib	concerns	مخاوف
Tiskanta	The following is the list of the following items:	وْهَاذِي هِيَ القَائِمَة عْلَى الوْصِي
esprimew	expressed	المفروض
pulċinell	Other, of a thickness of not more than 10 mm	وِلاَّ مِنْ غَيْرِهَا، مِثْلُو، مِ
kelli	had	كان
maħruqin	Other, of a thickness of not more than 10 mm	وِلاَّ مِنْ غَيْرِهَا، مِثْلُو، مِ
lqattnix	Other, of a kind used for the manufacture of foodstuffs	وِلاَّ مِنْ النَّوْعْ المُخْتَلِصْ لِلخ
uman	human	البشر
futur	future	المستقبل
parċmina	Parts and accessories	فُرُق و مِنْفَرْقَة
ħasditlu	the following:	المعلومات التالية:
nafdaw	trust	ثقة
farms	farms	المزارع
għarkupptejha	for the manufacture of textile materials	للاصنعة من المواد النسيجية
poġġejna	the following:	المعلومات التالية:
finanzi	financial	المالي
health	health	الصحة
ġuvni	young people	الشباب
daħna	we are	نحن كدا
għollieq	Fresh meat	اللحم الطازج
melles	other than	غير
jissogra	Other, of a kind used for the manufacture of goods	وِلاَّ مِنْ النَّوْعْ المُخْتَلِصْ
isso	Other	مَا عِنْدُو
ruħek	your soul	روحك
stennejt	waiting	ينتظر
letturi	Other, of a thickness of not more than 10 mm	وِلاَّ مِنْ غَيْرِهَا، مِثْلُو، مِ
isib	find	عثرة
lixx	Other, of a kind used for the manufacture of goods	وِلاَّ مِنْ النَّوْعْ المُخْتَلِصْ
ħrara	the following information is provided:	المعلومات التالية:
ħaristu	the guard	الحارس
rotta	route	طرقات
jżewwaqha	to be worn	يُلْبَسْ
abtek	abtek	ابطيك
Spiteri	Other, of a kind used for the manufacture of goods	وِلاَّ مِنْ النَّوْعْ المُخْتَلِصْ
għela	for the purpose of the calculation	للاغراض الاحصائية
tqassmu	distribution	توزيع
tirrakkuntalu	reporting	التبليغ
tidħkux	not flavoured	مَا فِيهِشْ طَمْعْ
kampnar	Other	مَا عِنْدُو
tissorprendik	Surprise you	مفاجأة لك
nċemplilhom	to be sampled	يِتْعَمِّلْ عْلَى عِينِي
gwarniċ	Other, of a kind used for the manufacture of goods	وِلاَّ مِنْ النَّوْعْ المُخْتَلِصْ
xefaq	Other, not elsewhere specified or included	وِلاَّ مَا يُشْكُلْ فِي أَحَدْ الأَثَ
sephora	other than	غير
faċċati	Other, of a kind used for the manufacture of goods	وِلاَّ مِنْ النَّوْعْ المُخْتَلِصْ
ġralu	occurred	جرت
franza	French	فرنسي
teħodhom	take them	خذيهم
Ġorġina	Other	مَا عِنْدُو
naħlu	the following:	المعلومات التالية:
introduċejtu	the product is not imported	المنتج ما يُستُوردْش
burdata	Other, of a kind used for the manufacture of goods	وِلاَّ مِنْ النَّوْعْ المُخْتَلِصْ
leġittimità	the legal status of the applicant	الموقف القانوني للمتقدم
Inħossni	I feel	نَشْعِرْ
jidejh	Other articles	المواد الأُخرى
mhumiex	not	لا لا لا لا لا لا لا لا لا لا لا لا لا لا لا لا لا لا لا لا لا لا لا لا لا لا لا لا
jirriżenjaw	resign	الإستقالة
sarkastiku	sarcastic	مُسخرة
qatlulu	killed	مقتول
alternattiva	Other	مَا عِنْدُو
kadavere	carcasses	جثث
Insista	Insists on	يصر على
għedt	I said	قُلْتْ
nan	Other	مَا عِنْدُو
counselling	counselling	الإستشارات
finanzjament	financing	المالي
assoċjazzjonijiet	the following:	المعلومات التالية:
Beda	Other	مَا عِنْدُو
Konsolidazzjoni	Consolidation	المكثفة
tħossha	feel	حاسسي
instema'	the following paragraphs are added:	يُضافُوا الفقراتْ المُتَحَدَّثَة فِي التَّحْ
gowl	the following table is inserted:	يُدْخَلْ الجَدْلْ المُتَحَدِّثْ:
tintmess	to be touched	يُمْسُوا
Magħquda	Combined	مُجْمَعْ
tgħattihja	the following paragraphs are added:	يُضافُوا الفقراتْ المُتَحَدَّثَة فِي التَّحْ
jingħalqu	locked	قلق
leħja	Other, of a kind used for the manufacture of goods	وِلاَّ مِنْ النَّوْعْ المُخْتَلِصْ
bnadar	for the manufacture of goods	لِصْنَاعْ السِّلْعَة
balla	Other	مَا عِنْدُو
fidiln	Other, of a kind used for the manufacture of goods	وِلاَّ مِنْ النَّوْعْ المُخْتَلِصْ
emarġinati	the number of persons who are not members of the family	العدد من الأشخاص اللي ما هُمْش أفراد العائلة
reliġjon	religion	الدين
għanjiet	Other	مَا عِنْدُو
